,United States - English,United States - Español,España - Español,Canada - French,France - Francais,United Kingdom - English,Australia - English,Canada - English
app_name,ARC,ARC,ARC,ARC,ARC,ARC,ARC,ARC
country_key,US,US,ES,CA,FR,UK,AU,CA
language_key,en,es,es,fr,fr,en,en,en
baseline_body,There are no tests available at this time. Your schedule will be determined at your baseline visit.,"No hay tests disponibles en este momento. Su cronograma se determinará en la visita inicial.
",Actualmente no hay ninguna prueba disponible. Su calendario se determinará en la visita inicial.,Il n’y a pas de tests disponibles pour le moment. Votre horaire sera déterminé lors de votre visite préliminaire.,Il n’y a pas de tests disponibles pour le moment. Votre horaire sera déterminé lors de votre visite préliminaire.,There are no tests available at this time. Your schedule will be determined at your baseline visit.,There are no tests available at this time. Your schedule will be determined at your baseline visit.,There are no tests available at this time. Your schedule will be determined at your baseline visit.
baseline_header,BASELINE,Inicial,INICIO,Données de base,Données de base,BASELINE,BASELINE,BASELINE
chronotype_0_body,"The following section will ask you questions in regards to your sleep and wake behavior on work- and work-free days. Please estimate an average of your ""normal"" sleep behavior over the past 6 weeks when you were able to follow your usual routines.",La próxima sección le hará preguntas concernientes a su conducta de sueño-vigilia en los días laborables y no laborables. Estime un promedio de conducta de sueño “normal” en las últimas 6 semanas cuando fue capaz de cumplir sus rutinas habituales.,En la siguiente sección se leharán preguntas sobre sus patrones de sueño y vigilia durante los días laborables y de descanso. Calcule un promedio desu patrón de sueño «normal» durante las últimas 6 semanas en las que pudo seguir sus rutinas habituales.,"Dans la section suivante, nous vous poserons des questions concernant votre sommeil et vos habitudes de réveil pour les jours avec et sans travail. Veuillez estimer en moyenne vos habitudes de sommeil « normal » au cours des six dernières semaines lorsque vous avez pu suivre vos routines habituelles.","La section suivante contient des questions sur votre comportement de veille-sommeil les jours travaillés et non travaillés. Veuillez estimer quel a été en moyenne votre comportement de sommeil « normal » au cours des 6 dernières semaines, lorsque vous avez purespecter vos habitudes.","The following section will ask you questions in regards to your sleep and wake behaviour on work- and work-free days. Please estimate an average of your ""normal"" sleep behaviour over the past 6 weeks when you were able to follow your usual routines.",The following section will ask you questions in regards to your sleep and wake behaviour on work- and work-free days. Please estimate an average of your “normal” sleep behaviour over the past 6 weeks when you were able to follow your usual routines.,The following section will ask you questions in regards to your sleep and wake behaviour on work- and work-free days. Please estimate an average of your “normal” sleep behaviour over the past 6 weeks when you were able to follow your usual routines.
chronotype_1_q1,I have been a shift- or night-worker in the past three months.,He trabajado de noche o por turnos en los últimos tres meses.,He trabajado por turnos o por la noche durante los últimos tres meses.,J’ai été un travailleur de quarts ou de nuit au cours des trois derniers mois.,J’ai travaillé en poste ou de nuit ces trois derniers mois.,I have been a shift- or night-worker in the past three months.,I have been a shift- or night-worker in the past three months.,I have been a shift- or night-worker in the past three months.
chronotype_1_q2,"Normally, I work ____ days/week","Habitualmente, trabajo ____ días/semana.","Normalmente, trabajo ____ días/semana.","Normalement, je travaille ____ jours par semaine.","Normalement, je travaille ____ jours/semaine.","Normally, I work ____ days/week","Normally, I work ____ days/week","Normally, I work ____ days/week"
chronotype_2_body,Please answer all of the following questions even if you do not work or work 7 days/week. Please don't forget to indicate AM or PM.,"Responda las siguientes preguntas incluso si usted no trabaja o trabaja 7 días/semana. No olvide indicar si es AM o PM.
",Responda a las siguientes preguntas incluso si no trabaja o trabaja 7 días a la semana. No olvide indicar a.m. o p.m.,"Veuillez répondre à toutes les questions suivantes, même si vous ne travaillez pas, ou ne travaillez pas sept jours par semaine. N’oubliez pas d’indiquer AM ou PM.
","Veuillez répondre à toutes les questions suivantes, même si vous netravaillez pas ou si vous travaillez 7 jours/7. N’oubliez pas de préciser l’indication AM (matin) ou PM (après-midi).",Please answer all the of the following questions even if you do not work or work 7 days/week. Please don't forget to indicate AM or PM.,Please answer all the of the following questions even if you do not work or work 7 days/week. Please don't forget to indicate AM or PM.,Please answer all the of the following questions even if you do not work or work 7 days/week. Please don't forget to indicate AM or PM.
chronotype_body_sleep,I normally fall asleep at (this is NOT when you go to bed):,Normalmente me duermo a las (NO cuando se mete en la cama):,Me duermo normalmente a las (esta NO es la hora a la que se acuesta):,Je m’endors normalement à (ce N’EST PAS lorsque vous vous couchez) :,Je m’endors normalement à (il ne s’agit PAS de l’heure à laquelle vous vous couchez) :,I normally fall asleep at (this is NOT when you get to bed):,I normally fall asleep at (this is NOT when you get to bed):,I normally fall asleep at (this is NOT when you get to bed):
